HomeTeam,AwayTeam,Day_Eve,Day Type,Hol Type,Capacity,Average Travelling Fans,Cheapest Season T,Home League Position,Away League Position,Form Home,Form Away,Distance,Temperature,Lowest Home Ticket Price,Lowest Away Ticket Price,Attendance,Highest Home Ticket Price
0.063829787,0.595744681,0,0,0,0.529208899,0.4530128,0.231098431,0.583333333,0.166666667,0.277777778,0.444444444,0.427184466,0.754464286,0.166666667,0.4,0.28551018,0.666666667
0.085106383,0.404255319,0,0,0,0.557618707,0.24102404,0.370898716,1,0.208333333,0.055555556,0.444444444,0.585760518,0.758928571,0.333333333,0.4,0.169801961,0.481481481
0.14893617,0.872340426,0,0,0,0.156664003,0.721511083,0.62767475,0.333333333,0.833333333,0.333333333,0.222222222,0.453074434,0.870535714,0.444444444,0.4,0.154185022,0.481481481
0.191489362,0.021276596,0,0,0,0.350065189,1,0.427960057,0.416666667,0.5,0.333333333,0.277777778,0.252427184,0.78125,0.722222222,0.6,0.380838989,0.703703704
0.276595745,0.765957447,0,0,0,0.486814989,0.235716516,0.427960057,0.625,0.875,0.277777778,0.222222222,0.300970874,0.763392857,0.333333333,0.4,0.260070643,0.444444444
0.446808511,1,0,0,0,0.413214451,0.382453949,0.085592011,0.041666667,0.125,0.555555556,0.444444444,0.236245955,0.705357143,0.166666667,0.8,0.358475215,0.296296296
0.468085106,0.723404255,0,0,0,0.535412373,0.383078364,0.764621969,0.541666667,0.958333333,0.277777778,0.166666667,0.640776699,0.819196429,1,0.56,0.265686391,0.666666667
0.553191489,0.170212766,0,0,0,1,0.437402435,0.796005706,0.291666667,0.083333333,0.333333333,0.444444444,0.938511327,0.796875,0.666666667,0.6,0.938385522,0.555555556
0.617021277,0.489361702,0,0,0,0.541531732,0.817670933,0.62767475,0.458333333,0.791666667,0.333333333,0.222222222,0.190938511,0.747767857,0.333333333,1,0.378775251,0.481481481
0.978723404,0.744680851,0,0,0,0.426525634,0.295972526,0.085592011,0.708333333,0.25,0.222222222,0.333333333,0.556634304,0.78125,0.555555556,0.72,0.172619756,0.296296296
0.765957447,0.468085106,1,1,0,0.406085713,0.366531377,0.5021398,0.625,0.458333333,0.388888889,0.444444444,0.323624595,0.837053571,0.444444444,0,0.262709846,0.481481481
0.170212766,0.14893617,0,0,0,0.544643984,0.266000624,0.930099857,0.333333333,0.583333333,0.444444444,0.388888889,0.13592233,0.828125,0.722222222,0.4,0.485791959,0.740740741
0.361702128,0.553191489,0,0,0,0.604512764,0.914767406,0.485021398,0.75,0.166666667,0.277777778,0.5,0.45631068,0.738839286,0.311111111,0.56,0.56550383,0.407407407
0.404255319,0.063829787,0,0,0,0.438448921,0.509210116,0.29957204,0.083333333,0.416666667,0.611111111,0.444444444,0.313915858,0.799107143,0.722222222,0.2,0.311465651,0.851851852
0.489361702,0.446808511,0,0,0,0.694789082,0.276303466,0.710413695,0.875,0.041666667,0.222222222,0.722222222,0.03236246,0.758928571,1,0.4,0.527979521,0.740740741
0.595744681,0.276595745,0,0,0,0.445472515,0.176397128,1,0.5,0.708333333,0.444444444,0.277777778,0.663430421,0.794642857,0.444444444,0.48,0.468547843,0.666666667
0.723404255,0.042553191,0,0,0,0.413214451,0.301904465,0.601997147,0.958333333,0.125,0.166666667,0.5,0.161812298,0.729910714,0.666666667,0.52,0.197344922,0.296296296
0.744680851,0.085106383,0,0,0,0.285759347,0.285669685,0.716119829,0.208333333,1,0.5,0.055555556,0.57605178,0.787946429,0.944444444,0.48,0.224292575,0.592592593
0.808510638,0.191489362,0,0,0,0.150796989,0.319388074,0.587731812,0.916666667,0.25,0.222222222,0.5,0.469255663,0.745535714,0.722222222,0.6,0.131999841,0.185185185
0.872340426,0.978723404,0,0,0,0.733523994,0.335310646,0.758915835,0.791666667,0.833333333,0.277777778,0.222222222,0.15210356,0.729910714,0.444444444,0.4,0.455470889,1
1,0.234042553,0,0,0,0.546788914,0.119887605,0.559201141,0.375,0.541666667,0.444444444,0.388888889,0.084142395,0.736607143,0.722222222,0.4,0.399690439,0.296296296
0.021276596,0.617021277,0,0,0,0.797787778,0.428036216,0.5021398,0.666666667,0.291666667,0.277777778,0.5,0.132686084,0.725446429,0.444444444,0.32,0.569750367,0.555555556
0.170212766,0.446808511,1,1,0,0.544643984,0.276303466,0.930099857,0.541666667,0.041666667,0.444444444,0.888888889,0.660194175,1,0.722222222,0.4,0.441699409,0.740740741
0.361702128,0.468085106,1,1,0,0.604512764,0.366531377,0.485021398,0.791666667,0.625,0.277777778,0.444444444,0.398058252,0.895089286,0.311111111,0,0.486526174,0.407407407
0.404255319,0.234042553,1,1,0,0.438448921,0.119887605,0.29957204,0.25,0.583333333,0.611111111,0.444444444,0.352750809,0.924107143,0.722222222,0.4,0.265527642,0.851851852
0.489361702,0.085106383,1,1,0,0.694789082,0.285669685,0.710413695,0.916666667,1,0.222222222,0.111111111,0.116504854,0.828125,1,0.48,0.339365798,0.740740741
0.595744681,0.978723404,1,1,0,0.445472515,0.335310646,1,0.208333333,0.875,0.611111111,0.222222222,0.566343042,0.953125,0.444444444,0.4,0.477933881,0.666666667
0.723404255,0.276595745,1,1,0,0.413214451,0.176397128,0.601997147,0.958333333,0.75,0.166666667,0.277777778,0.511326861,0.852678571,0.666666667,0.48,0.145037108,0.296296296
0.744680851,0.553191489,1,1,0,0.285759347,0.914767406,0.716119829,0.291666667,0.083333333,0.555555556,0.666666667,0.792880259,0.986607143,0.944444444,0.56,0.307516768,0.592592593
0.765957447,0.063829787,1,1,0,0.406085713,0.509210116,0.5021398,0.458333333,0.166666667,0.555555556,0.611111111,0.258899676,0.953125,0.444444444,0.2,0.251914911,0.481481481
0.872340426,0.191489362,1,1,0,0.733523994,0.319388074,0.758915835,0.666666667,0.375,0.444444444,0.555555556,0.459546926,0.886160714,0.444444444,0.6,0.441401754,1
1,0.042553191,1,1,0,0.546788914,0.301904465,0.559201141,0.5,0.125,0.5,0.666666667,0.226537217,0.854910714,0.722222222,0.52,0.332599119,0.296296296
0.021276596,0.14893617,1,1,0,0.797787778,0.266000624,0.5021398,0.708333333,0.333333333,0.333333333,0.555555556,0.310679612,0.868303571,0.444444444,0.4,0.552545938,0.555555556
0.808510638,0.617021277,1,1,0,0.150796989,0.428036216,0.587731812,0.833333333,0.416666667,0.277777778,0.555555556,0.106796117,0.834821429,0.722222222,0.32,0.165416518,0.185185185
0.042553191,0.765957447,0,0,0,0.381860622,0.235716516,0.345221113,0.125,0.5,0.833333333,0.444444444,0.475728155,0.767857143,0.722222222,0.4,0.213676231,0.592592593
0.063829787,0.872340426,0,0,0,0.529208899,0.721511083,0.231098431,0.208333333,0.458333333,0.611111111,0.444444444,0.207119741,0.734375,0.166666667,0.4,0.295253403,0.666666667
0.085106383,0.808510638,0,0,0,0.557618707,0.254761161,0.370898716,1,0.833333333,0.111111111,0.277777778,0.158576052,0.694196429,0.333333333,0.52,0.174465214,0.481481481
0.14893617,0.723404255,0,0,0,0.156664003,0.383078364,0.62767475,0.333333333,0.791666667,0.611111111,0.333333333,0.598705502,0.720982143,0.444444444,0.56,0.159007025,0.481481481
0.191489362,0.361702128,0,0,0,0.350065189,0.601623478,0.427960057,0.541666667,0.875,0.388888889,0.222222222,0.362459547,0.754464286,0.722222222,0.304,0.348136683,0.703703704
0.234042553,0.170212766,0,0,0,0.043361231,0.437402435,0.302425107,0.625,0.291666667,0.5,0.555555556,0.482200647,0.736607143,0.444444444,0.6,0.056534508,0.074074074
0.276595745,0.489361702,0,0,0,0.486814989,0.817670933,0.427960057,0.916666667,0.75,0.222222222,0.388888889,0.553398058,0.747767857,0.333333333,1,0.291721237,0.444444444
0.446808511,0.744680851,0,0,0,0.413214451,0.295972526,0.085592011,0.041666667,0.583333333,0.722222222,0.388888889,0.517799353,0.774553571,0.166666667,0.72,0.370837798,0.296296296
0.468085106,0.021276596,0,0,0,0.535412373,1,0.764621969,0.375,0.708333333,0.444444444,0.388888889,0.420711974,0.747767857,1,0.6,0.344128269,0.666666667
0.553191489,1,0,0,0,1,0.382453949,0.796005706,0.083333333,0.666666667,0.833333333,0.444444444,0.530744337,0.783482143,0.666666667,0.8,0.996348772,0.555555556
0.617021277,0.595744681,0,0,0,0.541531732,0.4530128,0.62767475,0.416666667,0.166666667,0.444444444,0.611111111,0.333333333,0.729910714,0.333333333,0.4,0.36544033,0.481481481
0.978723404,0.404255319,0,0,0,0.426525634,0.24102404,0.085592011,0.958333333,0.25,0.222222222,0.5,0.563106796,0.709821429,0.555555556,0.4,0.172143509,0.296296296
0.723404255,0.978723404,1,1,0,0.413214451,0.335310646,0.601997147,0.791666667,0.916666667,0.333333333,0.111111111,0.045307443,0.712053571,0.666666667,0.4,0.221653371,0.296296296
0.021276596,0.553191489,0,0,0,0.797787778,0.914767406,0.5021398,0.75,0.125,0.277777778,0.833333333,0.546925566,0.75,0.444444444,0.56,0.598384728,0.555555556
0.170212766,0.042553191,0,0,0,0.544643984,0.301904465,0.930099857,0.291666667,0.166666667,0.555555556,0.666666667,0.624595469,0.832589286,0.722222222,0.52,0.478449815,0.740740741
0.361702128,0.085106383,0,0,0,0.604512764,0.285669685,0.485021398,0.833333333,0.958333333,0.277777778,0.277777778,0.223300971,0.763392857,0.311111111,0.48,0.490038497,0.407407407
0.404255319,0.191489362,0,0,0,0.438448921,0.319388074,0.29957204,0.375,0.5,0.388888889,0.277777778,0.330097087,0.792410714,0.722222222,0.6,0.370639362,0.851851852
0.489361702,0.468085106,0,0,0,0.694789082,0.366531377,0.710413695,0.625,0.458333333,0.555555556,0.5,0.527508091,0.727678571,1,0,0.409711474,0.740740741
0.595744681,0.234042553,0,0,0,0.445472515,0.119887605,1,0.083333333,0.708333333,0.722222222,0.5,0.394822006,0.770089286,0.444444444,0.4,0.480156368,0.666666667
0.744680851,0.063829787,0,0,0,0.285759347,0.509210116,0.716119829,0.666666667,0.208333333,0.222222222,0.611111111,0.307443366,0.794642857,0.944444444,0.2,0.233877049,0.592592593
0.765957447,0.446808511,0,0,0,0.406085713,0.276303466,0.5021398,0.333333333,0.041666667,0.611111111,0.722222222,0.504854369,0.772321429,0.444444444,0.4,0.300095249,0.481481481
0.808510638,0.276595745,0,0,0,0.150796989,0.176397128,0.587731812,0.875,1,0.277777778,0.222222222,0.495145631,0.770089286,0.722222222,0.48,0.127812835,0.185185185
0.872340426,0.617021277,0,0,0,0.733523994,0.428036216,0.758915835,0.583333333,0.541666667,0.388888889,0.444444444,0.110032362,0.747767857,0.444444444,0.32,0.504881534,1
1,0.14893617,0,0,0,0.546788914,0.266000624,0.559201141,0.416666667,0.25,0.444444444,0.611111111,0.349514563,0.758928571,0.722222222,0.4,0.371671231,0.296296296
0.042553191,0.021276596,1,1,0,0.381860622,1,0.345221113,0.291666667,0.708333333,0.5,0.277777778,0.233009709,0.732142857,0.722222222,0.6,0.276282891,0.592592593
0.063829787,0.723404255,1,1,0,0.529208899,0.383078364,0.231098431,0.25,0.791666667,0.611111111,0.5,0.30420712,0.75,0.166666667,0.56,0.275270866,0.666666667
